P,,Jinete,1°,2°,3°,NP,TA,%Vict,%123,Producción,Favs
1,,Jaime Lugo,29,29,19,31,134,22%,57%,105.966,36-13
2,,José A. Rivero,28,25,16,48,160,18%,43%,82.394,28-12
3,,Hemirxon Medina,23,24,22,57,168,14%,41%,92.254,22-11
4,,Francisco Quevedo,21,13,30,37,131,16%,49%,78.024,19-10
5,,Jean C. Rodríguez,18,14,12,19,78,23%,56%,75.740,22-9
6,,Jonathan Aray,18,16,12,20,93,19%,49%,57.479,17-5
7,,Yoelbis González,18,20,16,40,122,15%,44%,57.150,25-9
8,,Franklin Puello Jr.,18,11,5,31,79,23%,43%,41.370,20-11
9,,José G. Hernández,16,9,9,45,96,17%,35%,37.720,12-7
10,,Johan E. Aranguren,13,10,9,61,123,11%,26%,39.948,10-7
11,,Roberth Capriles,12,9,10,17,63,19%,49%,37.540,17-5
12,,Larry Mejías,11,9,9,49,103,11%,28%,34.384,9-3
13,,Carlos Brito,11,8,8,50,101,11%,27%,27.548,9-2
14,,Ángel A. Castillo,7,8,6,3,29,24%,72%,19.896,13-6
15,,Kevin Aray,5,7,8,27,60,8%,33%,16.366,9-4
16,,Maikel Rodríguez,4,5,9,50,84,5%,21%,16.344,2-1
17,,Alejandro Briceño,4,5,7,21,49,8%,33%,11.386,1-0
18,,Ángel Ibarra,4,3,7,23,46,9%,30%,10.517,2-2
19,,Deyker Acosta,4,2,2,32,48,8%,17%,7.286,0-0
20,,Yervinson Contreras,3,5,2,26,50,6%,20%,10.336,2-1
21,,Álvaro Finol,3,2,1,30,43,7%,14%,7.172,0-0
22,,Kelvin Perfecto,3,0,3,42,55,5%,11%,4.892,3-2
23,,Yamper González,2,11,7,22,54,4%,37%,13.498,3-0
24,,Maykor Ibarra,2,5,6,28,54,4%,24%,9.776,2-1
25,,Cindy Carrero,2,8,3,15,36,6%,36%,8.470,6-1
26,,Omar Rivas,2,4,5,23,46,4%,24%,6.046,2-0
27,,Idelwis Aguilar,2,3,2,23,35,6%,20%,4.208,1-1
28,,Jonathan Herrera,2,0,1,7,12,17%,25%,2.404,1-1
29,,Arnaldo Chirinos,1,7,8,29,61,2%,26%,8.656,3-1
30,,Jaime Lugo C.,1,5,5,8,24,4%,46%,7.876,1-0
31,,Rafael Solano,1,4,3,19,34,3%,24%,5.480,4-1
32,,J.D. Moreno,1,3,3,24,37,3%,19%,3.766,1-0
33,,Jervis Alvarado,1,1,4,24,44,2%,14%,3.652,3-1
34,,Yonecso Bermúdez,1,0,7,8,22,5%,36%,2.876,3-1
35,,Kervin B. Briceño,0,3,3,14,25,0%,24%,2.594,1-0
36,,Leomar Sangronis,0,1,1,8,14,0%,14%,1.248,0-0
37,,Aldry Siso,0,1,2,18,27,0%,11%,1.186,1-0
38,,Jhoswall Andarcia,0,1,0,30,31,0%,3%,1.008,0-0
39,,Jorge L. Pérez,0,1,1,13,19,0%,11%,952,0-0
40,,Edgar Guedez,0,0,4,28,40,0%,10%,916,0-0
41,,Jonathan Nava,0,1,0,29,31,0%,3%,868,0-0
42,,Franklin Puello,0,0,1,18,23,0%,4%,460,0-0
43,,Julio Moncada,0,0,1,5,10,0%,10%,440,0-0
44,,Edicson Acevedo,0,0,0,11,14,0%,0%,254,0-0
45,,Gerween Cordero V.,0,0,0,6,10,0%,0%,172,0-0
46,,Jean C. Mundo,0,0,1,12,14,0%,7%,144,0-0
47,,Isaac Espinel,0,0,0,7,8,0%,0%,44,0-0
48,,Derrick Dellan,0,0,0,2,3,0%,0%,40,0-0
49,,Jairo Moreno,0,0,0,2,3,0%,0%,32,0-0
50,,Arquímedes Pérez,0,0,0,1,1,0%,0%,0,0-0
51,,Bragham Zapata,0,0,0,1,1,0%,0%,0,0-0
52,,José Contreras,0,0,0,0,0,%,%,0,0-0
