P,,Entrenador,1°,2°,3°,NP,TA,%Vict,%123,Producción,Favs
1,,Riccardo D'Ángelo,44,44,38,46,232,19%,54%,150.796,63-26
2,,Fernando Parilli T.,25,28,16,34,137,18%,50%,91.788,24-14
3,,Ramón García M.,23,19,22,77,183,13%,35%,78.352,26-9
4,,Rafael Cartolano,20,9,10,12,63,32%,62%,72.326,19-11
5,,David Palencia,17,17,14,27,104,16%,46%,66.174,20-13
6,,Rubén Lanz,17,13,27,49,148,11%,39%,45.672,19-6
7,,Fernando Parilli,12,14,18,39,110,11%,40%,44.902,24-7
8,,Dotwing Fernández,10,9,9,34,88,11%,32%,35.833,7-4
9,,Juan C. García,9,13,8,47,100,9%,30%,28.916,10-3
10,,Germán Rojas,9,8,5,45,76,12%,29%,23.192,6-5
11,,Gabriel Márquez,8,13,12,27,88,9%,38%,33.609,8-2
12,,Yanir Hurtado,7,6,7,18,51,14%,39%,22.580,7-4
13,,José G. Rodríguez G.,7,4,2,14,33,21%,39%,22.216,5-3
14,,José L. Balzán,7,11,6,24,60,12%,40%,21.442,7-2
15,,Luis Peraza,6,10,7,26,61,10%,38%,20.148,6-0
16,,Humberto Correia,6,4,3,19,39,15%,33%,13.662,8-3
17,,Juan De Abreu,6,2,7,29,47,13%,32%,9.716,4-2
18,,Ismael Martínez,5,1,9,23,50,10%,30%,16.116,3-1
19,,Eliécer Gómez,5,4,2,9,25,20%,44%,13.286,4-1
20,,Ismael Paredes,5,4,2,16,39,13%,28%,11.786,6-3
21,,César Cachazo,4,4,5,8,26,15%,50%,13.086,3-1
22,,Abraham Campos,4,6,4,44,70,6%,20%,10.682,3-1
23,,Jesús Romero R.,4,6,2,31,54,7%,22%,9.992,2-2
24,,Dany Pimentel,4,3,2,8,19,21%,47%,9.032,5-2
25,,Antonio Bellardi,3,3,1,35,53,6%,13%,8.750,1-1
26,,Freddy Escobar,3,3,3,24,43,7%,21%,7.870,1-0
27,,Heli García Jr.,3,2,1,5,14,21%,43%,4.952,0-0
28,,Rafael V. Alemán h.,2,2,10,28,52,4%,27%,7.556,1-0
29,,Miguel Hernández,2,1,0,28,34,6%,9%,6.568,1-1
30,,Wladimir Sánchez,2,2,3,38,56,4%,13%,4.944,0-0
31,,Luis Martín,2,0,1,7,12,17%,25%,4.420,1-0
32,,Chaoukat Dokmadji,2,1,1,46,65,3%,6%,3.358,0-0
33,,Carlos E. Regalado,1,5,5,9,28,4%,39%,12.038,1-0
34,,Jesús A. Romero F.,1,3,1,17,30,3%,17%,4.662,3-0
35,,Ramiro Caldeira,1,2,2,13,21,5%,24%,3.192,2-0
36,,Ingerman Sanoja,1,2,1,6,14,7%,29%,2.888,0-0
37,,David Regalado,1,0,3,7,11,9%,36%,2.702,0-0
38,,Darío Piccinini,1,1,4,7,16,6%,38%,2.142,0-0
39,,José García,1,0,1,3,6,17%,33%,1.536,0-0
40,,Ezequiel González,1,0,0,4,5,20%,20%,960,1-1
41,,Miguel Cortez,0,1,0,32,46,0%,2%,2.456,0-0
42,,Juan Márquez,0,2,3,4,17,0%,29%,2.260,1-0
43,,Luis Rosendo,0,3,2,9,16,0%,31%,2.000,2-0
44,,José G. Querales,0,2,0,6,8,0%,25%,1.736,1-0
45,,Omar Oviedo,0,2,2,13,20,0%,20%,1.648,0-0
46,,Wilmer Landaeta,0,1,3,25,30,0%,13%,1.556,2-0
47,,Aldo Traversa,0,2,1,20,23,0%,13%,1.204,1-0
48,,Manuel A. Pérez,0,0,2,14,20,0%,10%,768,0-0
49,,Jesús Villegas,0,1,1,6,11,0%,18%,656,1-0
50,,Ademar Rodríguez P.,0,0,1,10,14,0%,7%,232,0-0
51,,Freddy Petit,0,0,1,2,3,0%,33%,112,0-0
52,,César Morón,0,0,0,8,10,0%,0%,110,0-0
53,,César Pérez,0,0,0,28,30,0%,0%,86,0-0
54,,C. Gallipolli,0,0,0,5,7,0%,0%,80,0-0
55,,Juan C. Ríos,0,0,0,2,3,0%,0%,32,0-0
56,,Ricardo A. Rosillo,0,0,0,1,1,0%,0%,0,1-0
57,,Carlos Álvarez,0,0,0,12,12,0%,0%,0,0-0
58,,Nelson Henríquez,0,0,0,1,1,0%,0%,0,0-0
59,,Yordi Carvajal,0,0,0,8,8,0%,0%,0,0-0
60,,Arturo Araujo,0,0,0,5,5,0%,0%,0,0-0
